angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.43,,,"[891, 148, 159, 213]",,,0.0,,,0.17,,,0.0,,,0.13,,,0.26,,,0.01,,
0.49,,,"[902, 149, 155, 199]",,,0.0,,,0.1,,,0.0,,,0.09,,,0.31,,,0.0,,
0.34,,,"[892, 141, 165, 218]",,,0.0,,,0.15,,,0.0,,,0.19,,,0.31,,,0.01,,
0.33,,,"[904, 150, 156, 198]",,,0.0,,,0.17,,,0.0,,,0.17,,,0.32,,,0.01,,
0.22,,,"[891, 141, 164, 220]",,,0.0,,,0.09,,,0.0,,,0.34,,,0.33,,,0.01,,
0.33,,,"[892, 141, 163, 218]",,,0.0,,,0.11,,,0.0,,,0.24,,,0.3,,,0.01,,
0.17,,,"[892, 144, 161, 215]",,,0.0,,,0.12,,,0.0,,,0.38,,,0.31,,,0.02,,
0.21,,,"[892, 142, 164, 219]",,,0.0,,,0.08,,,0.0,,,0.37,,,0.33,,,0.01,,
0.19,,,"[892, 141, 165, 220]",,,0.0,,,0.08,,,0.0,,,0.3,,,0.42,,,0.01,,
0.14,,,"[892, 142, 164, 218]",,,0.0,,,0.07,,,0.0,,,0.42,,,0.35,,,0.02,,
0.17,,,"[891, 139, 166, 226]",,,0.0,,,0.09,,,0.0,,,0.33,,,0.38,,,0.02,,
0.12,,,"[889, 139, 168, 227]",,,0.0,,,0.09,,,0.0,,,0.28,,,0.49,,,0.02,,
0.28,,,"[898, 147, 157, 207]",,,0.0,,,0.18,,,0.0,,,0.21,,,0.31,,,0.02,,
0.22,,,"[892, 141, 165, 218]",,,0.0,,,0.1,,,0.0,,,0.3,,,0.37,,,0.01,,
0.2,,,"[890, 138, 167, 228]",,,0.0,,,0.09,,,0.0,,,0.26,,,0.44,,,0.01,,
0.2,,,"[907, 153, 153, 193]",,,0.0,,,0.14,,,0.0,,,0.24,,,0.4,,,0.0,,
0.15,,,"[892, 144, 161, 213]",,,0.0,,,0.12,,,0.0,,,0.46,,,0.25,,,0.02,,
0.16,,,"[892, 144, 160, 213]",,,0.0,,,0.15,,,0.0,,,0.42,,,0.25,,,0.02,,
0.19,,,"[891, 145, 163, 213]",,,0.0,,,0.11,,,0.0,,,0.33,,,0.35,,,0.02,,
0.22,,,"[892, 145, 162, 212]",,,0.0,,,0.15,,,0.0,,,0.29,,,0.33,,,0.01,,
0.16,,,"[893, 145, 162, 213]",,,0.0,,,0.13,,,0.0,,,0.31,,,0.38,,,0.01,,
0.18,,,"[892, 145, 163, 213]",,,0.0,,,0.12,,,0.0,,,0.33,,,0.36,,,0.01,,
0.17,,,"[892, 152, 157, 211]",,,0.0,,,0.16,,,0.0,,,0.39,,,0.25,,,0.02,,
0.16,,,"[890, 147, 165, 218]",,,0.0,,,0.16,,,0.0,,,0.29,,,0.37,,,0.01,,
0.21,,,"[890, 148, 164, 217]",,,0.0,,,0.17,,,0.0,,,0.35,,,0.24,,,0.02,,
0.17,,,"[890, 147, 164, 218]",,,0.0,,,0.17,,,0.0,,,0.35,,,0.29,,,0.01,,
0.2,,,"[890, 147, 164, 218]",,,0.0,,,0.16,,,0.0,,,0.3,,,0.32,,,0.02,,
0.22,,,"[889, 147, 165, 220]",,,0.0,,,0.2,,,0.0,,,0.26,,,0.27,,,0.04,,
0.17,,,"[889, 146, 165, 220]",,,0.0,,,0.19,,,0.0,,,0.29,,,0.31,,,0.03,,
0.23,,,"[890, 151, 160, 216]",,,0.0,,,0.17,,,0.0,,,0.3,,,0.28,,,0.02,,
0.18,,,"[889, 137, 167, 224]",,,0.0,,,0.06,,,0.0,,,0.43,,,0.31,,,0.01,,
0.23,,,"[890, 149, 163, 217]",,,0.0,,,0.2,,,0.0,,,0.26,,,0.27,,,0.04,,
0.18,,,"[892, 153, 159, 211]",,,0.0,,,0.13,,,0.0,,,0.42,,,0.25,,,0.01,,
0.16,,,"[893, 145, 160, 213]",,,0.0,,,0.07,,,0.0,,,0.47,,,0.29,,,0.01,,
